UNIT,GEO,TIME,DAYSWEEK,SEX,ACL00,Value,Flag and Footnotes
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Total,24:00,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Personal care,10:58,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Sleep,8:25,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Eating,1:49,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Other and/or unspecified personal care,0:44,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,"Employment, related activities and travel as part of/during main and second job",2:29,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Main and second job and related travel,2:27,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Activities related to employment and unspecified employment,0:01,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Study,0:14,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,School and university except homework,0:06,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Homework,0:05,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Free time study,0:03,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Household and family care,3:20,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Food management except dish washing,0:40,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Dish washing,0:15,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Cleaning dwelling,0:18,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Household upkeep except cleaning dwelling,0:23,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Laundry,0:05,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Ironing,0:10,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Handicraft and producing textiles and other care for textiles,0:03,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Gardening; other pet care,0:14,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Tending domestic animals,0:00,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Caring for pets,0:03,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Walking the dog,0:04,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Construction and repairs ,0:11,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Shopping and services,0:28,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,"Childcare, except teaching, reading and talking",0:10,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,"Teaching, reading and talking with child",0:06,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Household management and help family member,0:09,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,"Leisure, social and associative life",5:31,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Organisational work,0:05,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Informal help to other households,0:00,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Participatory activities,0:03,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Visiting and feasts,0:34,
Time spent (hh:mm),Belgium,2000,All days of the week,Total,Other social life,0:23,
