GEO,TIME,DAYSWEEK,SEX,emp,household,leisure,pc,study,travel,unspec,happyness,RAND_1,RAND_2,RAND_3
Austria,2000,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2000,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2000,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2000,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.9,0,0,0
Austria,2000,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.9,0,0,0
Austria,2000,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.9,0,0,0
Austria,2000,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2000,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2000,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Austria,2010,All,All,3:43,3:26,4:55,10:34,0:13,1:10,0:04,7.7,9,15,110
Austria,2010,D,All,4:39,3:26,4:16,10:09,0:17,1:14,0:05,7.7,12,15,110
Austria,2010,W,All,1:23,3:24,6:31,11:35,0:05,1:01,0:03,7.7,3,15,121
Austria,2010,All,Female,2:48,4:31,4:38,10:40,0:14,1:09,0:04,7.6,6,20,110
Austria,2010,D,Female,3:26,4:37,4:07,10:20,0:18,1:11,0:05,7.6,9,20,110
Austria,2010,W,Female,1:08,4:14,6:00,11:30,0:05,1:04,0:03,7.6,3,20,121
Austria,2010,All,Male,4:40,2:18,5:11,10:27,0:12,1:12,0:04,7.7,12,10,110
Austria,2010,D,Male,5:56,2:11,4:25,9:56,0:15,1:17,0:05,7.7,15,10,99
Austria,2010,W,Male,1:39,2:35,7:02,11:41,0:04,0:59,0:03,7.7,3,10,121
Belgium,2000,All,All,2:29,3:20,5:31,10:58,0:14,1:26,0:01,7.5,6,15,110
Belgium,2000,D,All,3:12,3:23,5:07,10:36,0:16,1:26,0:01,7.5,9,15,110
Belgium,2000,W,All,0:41,3:15,6:33,11:55,0:07,1:26,0:02,7.5,0,15,121
Belgium,2000,All,Female,1:53,4:10,5:06,11:11,0:16,1:22,0:02,7.4,3,20,121
Belgium,2000,D,Female,2:26,4:16,4:45,10:50,0:19,1:23,0:02,7.4,6,20,110
Belgium,2000,W,Female,0:30,3:55,5:58,12:03,0:09,1:22,0:03,7.4,0,15,132
Belgium,2000,All,Male,3:07,2:28,5:58,10:45,0:11,1:30,0:01,7.7,9,10,110
Belgium,2000,D,Male,4:01,2:26,5:29,10:21,0:13,1:29,0:01,7.7,12,10,110
